tick,n_agents,mean_knowledge,std_knowledge,median_knowledge,max_knowledge,mean_visited,std_visited,max_visited,mean_reward,std_reward,mean_energy,unique_locations_occupied,earth_proxy_resolves
663,45,107.14266666666667,84.89552906432182,71.5,479.66,90.26666666666667,71.59093673239808,400,0.24311555555555558,0.4291064400229107,55.3111111111111,45,121
665,45,107.45155555555554,85.38922674580742,71.5,482.01,90.53333333333333,72.0119125947614,402,0.17134444444444444,0.39080038130059613,55.08888888888888,45,122
670,45,107.66355555555555,85.82782975638705,71.5,484.38,90.71111111111111,72.37790400152744,404,0.17843333333333333,0.3916816048215126,55.17777777777777,45,126
672,45,107.79666666666668,86.2417149386279,71.5,486.81,90.82222222222222,72.72147440410001,406,0.24704444444444446,0.43331727485914756,55.155555555555544,45,128
674,45,107.92977777777779,86.50653813412382,71.5,488.02,90.93333333333334,72.93906132290617,407,0.1974022222222222,0.4017570534478041,55.08888888888888,45,129
676,45,108.05777777777779,86.74211057020021,71.5,489.18,91.04444444444445,73.14580736995435,408,0.1341222222222222,0.3540695586958327,55.35555555555555,45,131
678,45,108.21666666666667,87.18882165864052,71.5,491.6,91.17777777777778,73.51894355693908,410,0.22363555555555553,0.4205256452243525,55.222222222222214,45,133
680,45,108.26777777777778,87.38035687953592,71.5,492.76,91.22222222222223,73.68126217066133,411,0.1769777777777778,0.38997808536086787,55.28888888888888,45,134
683,45,108.34422222222221,87.61745537629636,71.5,493.91,91.28888888888889,73.88839097576599,412,0.13298,0.3543537990953862,55.24444444444443,45,137
686,45,108.52933333333333,88.04153664669371,71.5,496.34,91.44444444444444,74.2382218284282,414,0.2005,0.4013795925720855,55.3111111111111,45,139
687,45,108.60888888888888,88.28940490662191,71.5,497.55,91.5111111111111,74.44539302878235,415,0.22054666666666667,0.41226819135121257,55.24444444444443,45,139
