tick,agent_events,mean_reward,mean_knowledge_score,earth_proxy_resolves,weather_updated,wind_updated,atmosphere_updated,astronomy_updated,data_feeds_updated
324,0,0.0,0.0,105,False,False,False,False,False
325,0,0.0,0.0,105,False,False,False,False,False
326,0,0.0,0.0,105,False,False,False,False,False
327,0,0.0,0.0,105,False,False,False,False,False
328,0,0.0,0.0,105,False,False,False,False,False
329,0,0.0,0.0,106,False,False,False,False,False
330,0,0.0,0.0,107,False,False,False,False,True
331,0,0.0,0.0,107,False,False,False,False,False
332,0,0.0,0.0,107,False,False,False,False,False
333,0,0.0,0.0,107,False,False,False,False,False
334,0,0.0,0.0,107,False,False,False,False,False
335,0,0.0,0.0,108,False,False,False,False,False
