tick,agent_events,mean_reward,mean_knowledge_score,earth_proxy_resolves,weather_updated,wind_updated,atmosphere_updated,astronomy_updated,data_feeds_updated
290,0,0.0,0.0,89,False,False,False,True,False
291,0,0.0,0.0,89,False,False,False,False,False
292,0,0.0,0.0,89,False,False,False,False,True
293,0,0.0,0.0,90,False,False,False,False,False
294,0,0.0,0.0,91,False,False,False,False,False
295,0,0.0,0.0,92,False,False,False,False,False
296,0,0.0,0.0,93,False,False,False,False,False
297,0,0.0,0.0,93,False,False,False,False,False
298,0,0.0,0.0,94,False,False,False,False,False
299,0,0.0,0.0,95,False,False,False,False,False
