tick,n_agents,mean_knowledge,std_knowledge,median_knowledge,max_knowledge,mean_visited,std_visited,max_visited,mean_reward,std_reward,mean_energy,unique_locations_occupied,earth_proxy_resolves
955,45,119.80911111111111,113.47890276409623,71.5,619.89,101.13333333333334,96.03207797397701,519,0.09938000000000001,0.3078070828728064,54.95555555555555,45,27
958,45,119.85844444444443,113.5673543263704,71.5,619.83,101.17777777777778,96.11897463014581,519,0.09788444444444444,0.304564796211509,54.95555555555555,45,27
959,45,120.17511111111111,114.21848684034806,71.5,622.25,101.44444444444444,96.66679438050312,521,0.16377333333333333,0.36489228389271866,54.82222222222221,45,28
961,45,120.20022222222222,114.29238525211242,71.5,622.19,101.46666666666667,96.73252928680311,521,0.12012,0.32742868848719486,54.93333333333332,45,29
962,45,120.22622222222223,114.36902697047326,71.5,622.15,101.4888888888889,96.79844402381734,521,0.12000666666666666,0.32615287172326624,54.97777777777777,45,29
963,45,120.24977777777778,114.40909030490131,71.5,622.12,101.5111111111111,96.84205289994911,521,0.12123777777777778,0.3279595288642175,55.08888888888888,45,30
965,45,120.32777777777778,114.62270860695565,71.5,623.33,101.57777777777778,97.02565271076828,522,0.16568888888888889,0.3676973956467901,55.08888888888888,45,30
968,45,120.79688888888889,115.184412638019,71.5,625.76,101.97777777777777,97.50019689755364,524,0.20584222222222223,0.40264240958331965,54.88888888888888,45,31
969,45,120.82288888888888,115.2605175267889,71.5,625.71,102.0,97.56593212341647,524,0.20712444444444447,0.3996269388959634,54.93333333333332,45,32
971,45,120.89755555555556,115.4926543533408,71.5,626.87,102.06666666666666,97.77170688224005,525,0.16014,0.3699869213304108,54.95555555555555,45,32
973,45,120.97555555555557,115.70756304015464,71.5,628.1,102.13333333333334,97.95545472872408,526,0.22889555555555555,0.413612614763329,54.86666666666666,45,34
975,45,121.20644444444444,115.99616524610832,71.5,629.25,102.33333333333333,98.20794265231301,527,0.18129111111111113,0.3836095635595142,54.88888888888888,45,35
976,45,121.20644444444444,115.99616524610832,71.5,629.25,102.33333333333333,98.20794265231301,527,0.18129111111111113,0.3836095635595142,54.88888888888888,45,35
977,45,121.20533333333333,115.99129889972112,71.5,629.2,102.33333333333333,98.20794265231301,527,0.1597866666666667,0.3664174593123106,54.95555555555555,45,35
979,45,121.33666666666666,116.32348579141991,71.5,630.41,102.44444444444444,98.48825210383792,528,0.22814666666666666,0.412338843186038,54.911111111111104,45,36
981,45,121.46599999999998,116.71543109251282,71.5,632.84,102.55555555555556,98.82095044530578,530,0.18211777777777777,0.38551923675242566,54.911111111111104,45,37
