tick,n_agents,mean_knowledge,std_knowledge,median_knowledge,max_knowledge,mean_visited,std_visited,max_visited,mean_reward,std_reward,mean_energy,unique_locations_occupied,earth_proxy_resolves
1022,45,123.00666666666667,120.36438550409245,71.5,651.5,103.88888888888889,101.99895908449746,546,0.16227111111111112,0.3733735928424756,54.86666666666666,45,53
1023,45,123.00533333333333,120.35853131558413,71.5,651.44,103.88888888888889,101.99895908449746,546,0.13951555555555556,0.3541303695631223,54.93333333333332,45,53
1024,45,123.00533333333333,120.35853131558413,71.5,651.44,103.88888888888889,101.99895908449746,546,0.13951555555555556,0.3541303695631223,54.93333333333332,45,53
1025,45,123.00533333333333,120.35853131558413,71.5,651.44,103.88888888888889,101.99895908449746,546,0.13951555555555556,0.3541303695631223,54.93333333333332,45,54
1026,45,123.05644444444444,120.48114325773706,71.5,651.38,103.93333333333334,102.10917904108545,546,0.18232444444444446,0.38951676281461917,54.86666666666666,45,54
1028,45,123.13333333333334,120.69418829789979,71.5,652.59,104.0,102.29478101165388,547,0.18224,0.3897434303629903,54.777777777777764,45,55
1030,45,123.38733333333334,121.10334254309875,71.5,653.74,104.22222222222223,102.64910864772689,548,0.11218,0.32771993639556185,54.88888888888888,45,56
1033,45,123.41422222222224,121.22117214210633,71.5,654.95,104.24444444444444,102.74524169691765,549,0.13518666666666668,0.3469305102370406,54.86666666666666,45,57
1034,45,123.41155555555557,121.2107608159451,71.5,654.87,104.24444444444444,102.74524169691765,549,0.1120888888888889,0.3278641393573612,54.911111111111104,45,57
1036,45,123.4882222222222,121.38144614376043,71.5,654.76,104.31111111111112,102.89991301631616,549,0.15948666666666667,0.37053691350075585,54.97777777777777,45,58
1038,45,123.4882222222222,121.38144614376043,71.5,654.76,104.31111111111112,102.89991301631616,549,0.15948666666666667,0.37053691350075585,54.97777777777777,45,58
1039,45,123.4882222222222,121.38144614376043,71.5,654.76,104.31111111111112,102.89991301631616,549,0.15948666666666667,0.37053691350075585,54.97777777777777,45,59
1041,45,123.778,121.9343213847338,71.5,655.89,104.55555555555556,103.37215519246857,550,0.20153555555555558,0.3975130288042592,54.7111111111111,45,60
1043,45,123.92822222222223,122.24367603345718,71.5,657.04,104.68888888888888,103.65022854071866,551,0.11073999999999999,0.3228495434925275,54.79999999999999,45,61
1044,45,123.92822222222223,122.24367603345718,71.5,657.04,104.68888888888888,103.65022854071866,551,0.11073999999999999,0.3228495434925275,54.79999999999999,45,61
1045,45,124.00800000000001,122.49123287629835,71.5,658.25,104.75555555555556,103.85677221925621,552,0.1569111111111111,0.36916075885248584,54.73333333333332,45,61
1046,45,124.00800000000001,122.49123287629835,71.5,658.25,104.75555555555556,103.85677221925621,552,0.1569111111111111,0.36916075885248584,54.73333333333332,45,61
1047,45,124.00800000000001,122.49123287629835,71.5,658.25,104.75555555555556,103.85677221925621,552,0.1569111111111111,0.36916075885248584,54.73333333333332,45,62
1048,45,124.0348888888889,122.60858163951788,71.5,659.46,104.77777777777777,103.95252952699963,553,0.15602666666666667,0.36727659114079136,54.7111111111111,45,63
1050,45,124.18355555555556,122.89559167856545,71.5,659.35,104.91111111111111,104.20659442179105,553,0.09276888888888889,0.30279256399369603,54.88888888888888,45,63
1051,45,124.18355555555556,122.89559167856545,71.5,659.35,104.91111111111111,104.20659442179105,553,0.09276888888888889,0.30279256399369603,54.88888888888888,45,64
