tick,n_agents,mean_knowledge,std_knowledge,median_knowledge,max_knowledge,mean_visited,std_visited,max_visited,mean_reward,std_reward,mean_energy,unique_locations_occupied,earth_proxy_resolves
2,45,1.0813333333333333,0.4042089668585903,1.0,3.52,1.0666666666666667,0.3265986323710903,3,0.049444444444444444,0.2295981993304879,88.3111111111111,45,87
13,45,8.230444444444444,3.9052522784097685,8.61,17.31,6.911111111111111,3.1820484123855555,14,1.0792822222222225,0.16608677422612406,82.73333333333332,45,89
31,45,25.170888888888886,5.823149519030715,25.21,37.51,20.91111111111111,4.857169830820424,30,0.8902066666666665,0.3601124147941707,71.64444444444443,45,91
42,45,29.91933333333333,8.204491561198525,28.75,50.96,24.88888888888889,6.825514949143958,41,0.8279177777777779,0.39361621369546074,69.5111111111111,45,92
50,45,31.42288888888889,9.638444692934927,31.17,54.49,26.155555555555555,8.041435901505695,44,0.8335666666666667,0.405147456283923,69.33333333333333,45,94
59,45,34.836000000000006,10.713451233535034,33.59,60.61,29.022222222222222,8.982671933324092,49,0.7359555555555556,0.4600149773192441,67.77777777777777,45,95
67,45,36.998444444444445,12.38086820785388,33.54,70.46,30.844444444444445,10.40075970634529,57,0.7944555555555555,0.429658724289435,66.64444444444443,45,96
74,45,37.574000000000005,13.444944758367567,33.54,76.47,31.333333333333332,11.280267924320079,62,0.7967933333333334,0.42635344878268416,66.93333333333332,45,97
80,45,39.0688888888889,14.441141109455646,34.74,81.34,32.6,12.149805668313292,66,0.9290622222222223,0.3049434601793795,66.24444444444444,45,98
88,45,40.92,15.821659275253726,35.45,90.34,34.15555555555556,13.319919178192494,73,0.8566755555555553,0.38659086794730024,65.33333333333333,45,99
95,45,42.27333333333333,16.456446896108663,36.05,95.1,35.28888888888889,13.86862521781084,77,0.877668888888889,0.34945804632775285,64.93333333333332,45,100
101,45,43.302444444444454,17.78676826002415,36.96,102.41,36.15555555555556,14.987336218073587,83,0.8983511111111113,0.3335406352869981,64.5111111111111,45,101
107,45,44.38666666666667,19.39539544439464,37.76,108.42,37.06666666666667,16.32639308332098,88,0.9000222222222223,0.3412863371871445,63.95555555555555,45,102
112,45,44.80488888888889,20.18595602252244,37.76,113.21,37.422222222222224,16.99214052161095,92,0.9218133333333335,0.30598821516885616,63.86666666666666,45,103
116,45,44.98955555555556,20.543396987900252,37.76,114.36,37.577777777777776,17.28903170463721,93,0.9212866666666669,0.3064966156057482,63.911111111111104,45,104
121,45,46.93133333333334,20.56034517652313,40.2,117.93,39.2,17.318711781705296,96,0.8306666666666666,0.39360719618534534,63.1111111111111,45,105
