tick,n_agents,mean_knowledge,std_knowledge,median_knowledge,max_knowledge,mean_visited,std_visited,max_visited,mean_reward,std_reward,mean_energy,unique_locations_occupied,earth_proxy_resolves
983,45,121.51622222222221,116.8719532610871,71.5,633.98,102.6,98.96113715326166,531,0.15962666666666667,0.3679404302027405,54.911111111111104,45,38
985,45,121.53911111111111,116.91162124199671,71.5,633.92,102.62222222222222,99.00489076334426,531,0.16103111111111112,0.3685003433269754,54.911111111111104,45,38
987,45,121.71933333333335,117.30615714445683,71.5,635.05,102.77777777777777,99.35254599184526,532,0.18145333333333333,0.38389656454137044,54.86666666666666,45,38
989,45,121.79733333333334,117.5487622771456,71.5,636.25,102.84444444444445,99.55857138289234,533,0.20259555555555556,0.3933352197443778,54.86666666666666,45,39
990,45,121.82422222222223,117.66651795059325,71.5,637.46,102.86666666666666,99.6546481047868,534,0.20326666666666668,0.39457345915135583,54.844444444444434,45,39
991,45,121.84688888888888,117.70407225698075,71.5,637.4,102.88888888888889,99.69915239185497,534,0.15719333333333335,0.36780229979342616,54.777777777777764,45,40
993,45,121.97777777777777,117.86512280076539,71.5,637.36,103.0,99.84387812980823,534,0.22613555555555556,0.4117774966359896,54.79999999999999,45,41
994,45,121.97777777777777,117.86512280076539,71.5,637.36,103.0,99.84387812980823,534,0.22613555555555556,0.4117774966359896,54.79999999999999,45,41
995,45,122.05688888888889,118.11061415887929,71.5,638.57,103.06666666666666,100.05007635068439,535,0.27047777777777776,0.4298385055337717,54.73333333333332,45,42
996,45,122.05688888888889,118.11061415887929,71.5,638.57,103.06666666666666,100.05007635068439,535,0.27047777777777776,0.4298385055337717,54.73333333333332,45,42
998,45,122.23666666666666,118.34486830164344,71.5,639.72,103.22222222222223,100.25387526760669,536,0.1807488888888889,0.38428326972124915,54.73333333333332,45,43
999,45,122.26266666666666,118.42027330937329,71.5,639.66,103.24444444444444,100.319302575007,536,0.18181333333333333,0.38654366353909136,54.777777777777764,45,43
1001,45,122.26266666666666,118.42027330937329,71.5,639.66,103.24444444444444,100.319302575007,536,0.18181333333333333,0.38654366353909136,54.777777777777764,45,43
1002,45,122.26266666666666,118.42027330937329,71.5,639.66,103.24444444444444,100.319302575007,536,0.18181333333333333,0.38654366353909136,54.777777777777764,45,44
1003,45,122.28844444444444,118.5351515037826,71.5,640.89,103.26666666666667,100.41522682231903,537,0.18053555555555556,0.3892762224982013,54.82222222222221,45,44
1005,45,122.4951111111111,118.90937095344172,71.5,642.05,103.44444444444444,100.7415958569372,538,0.162,0.37027783862631825,54.95555555555555,45,45
