tick,n_agents,mean_knowledge,std_knowledge,median_knowledge,max_knowledge,mean_visited,std_visited,max_visited,mean_reward,std_reward,mean_energy,unique_locations_occupied,earth_proxy_resolves
2,45,1.0533333333333332,0.2476197802186965,1.0,2.26,1.0444444444444445,0.20608041101101562,2,0.049844444444444455,0.23135847275079485,88.33333333333333,45,106
8,45,4.679111111111111,3.086936505283891,4.66,11.06,4.022222222222222,2.534112940470832,9,0.7649733333333333,0.5128008560401939,85.42222222222222,45,108
16,45,13.695777777777774,3.157923712321041,13.55,21.02,11.4,2.585429257288709,17,0.9676577777777778,0.3253414537845082,78.6,45,111
23,45,18.544888888888895,4.292758047493591,18.14,29.69,15.422222222222222,3.543312253865733,24,0.8455377777777777,0.42583451782686604,75.57777777777777,45,114
27,45,22.171333333333333,5.6793785262513055,22.07,34.63,18.42222222222222,4.706916371510658,28,0.9189911111111111,0.34483151945533713,73.39999999999999,45,116
34,45,25.772,7.111332614605757,24.45,41.99,21.42222222222222,5.923545818319328,34,1.0167333333333333,0.15730184148106258,70.88888888888889,45,118
40,45,29.812222222222218,7.63190259921801,28.85,48.08,24.8,6.386096007908292,39,0.8565355555555554,0.39224239170048103,69.15555555555555,45,121
45,45,31.71466666666667,8.83014246770685,30.45,52.95,26.4,7.406903686576614,43,0.7429333333333333,0.45805043099350246,68.88888888888889,45,122
51,45,34.339333333333336,10.013587968355797,33.11,60.28,28.6,8.399470882806314,49,0.8747444444444444,0.3782618831536077,67.9111111111111,45,125
56,45,34.974888888888884,11.058022652701265,33.11,63.85,29.133333333333333,9.260669522232181,52,0.8965866666666668,0.35857979902201226,67.68888888888888,45,127
61,45,36.913777777777774,11.68647257661398,35.66,67.44,30.755555555555556,9.784694523263372,55,0.748342222222222,0.4553202274779996,67.02222222222221,45,127
