tick,n_agents,mean_knowledge,std_knowledge,median_knowledge,max_knowledge,mean_visited,std_visited,max_visited,mean_reward,std_reward,mean_energy,unique_locations_occupied,earth_proxy_resolves
3,45,1.028,0.1857309882599023,1.0,2.26,1.0222222222222221,0.14740554623801777,2,0.026031111111111113,0.17267085686321398,88.35555555555554,45,64
12,45,6.4815555555555555,3.326447524883336,6.01,13.58,5.488888888888889,2.7049109430583003,11,0.9912399999999999,0.34655996268082284,84.08888888888887,45,65
22,45,15.871555555555556,3.7275365446039594,15.21,26.03,13.2,3.0666666666666664,21,0.8959688888888889,0.3980403613382957,77.3111111111111,45,68
29,45,19.62088888888889,4.986525319842675,19.15,32.16,16.31111111111111,4.1302258330627355,26,1.0191066666666666,0.21928573485548739,74.88888888888889,44,70
38,45,23.627777777777776,6.633019720857458,22.75,41.96,19.644444444444446,5.534359565701269,34,0.889228888888889,0.3590382533765091,72.24444444444444,45,71
46,45,26.826888888888885,7.465736198638036,25.3,50.47,22.288888888888888,6.224047351370229,41,0.8582222222222223,0.38894618473162057,70.44444444444443,45,73
52,45,30.266222222222222,9.59369707183695,28.06,56.53,25.177777777777777,8.034063283264961,46,0.8795755555555556,0.3773176770341792,69.57777777777777,45,75
59,45,30.923555555555556,10.61186655600555,28.06,62.62,25.733333333333334,8.890444308357148,51,0.8384488888888888,0.41731525766085187,69.48888888888888,45,76
64,45,31.409777777777773,11.392463881178234,28.06,66.17,26.133333333333333,9.534964895349933,54,0.9065200000000001,0.35301476053496056,69.44444444444443,45,78
70,45,33.322222222222216,12.442940147174737,29.28,71.05,27.733333333333334,10.423051376636307,58,0.8823777777777776,0.37997643195270175,68.82222222222221,45,79
78,45,37.23288888888889,13.76718039755292,32.63,80.75,31.0,11.529671865813587,66,0.898111111111111,0.35427913114581294,66.75555555555555,45,81
83,45,37.666000000000004,14.374901027678609,32.63,83.1,31.355555555555554,12.040958905254378,68,0.9149288888888888,0.3239734643607043,66.64444444444443,45,82
88,45,38.83777777777778,14.501992489752555,33.71,85.46,32.333333333333336,12.158216243438927,70,0.9076844444444442,0.3250911393273213,65.99999999999999,45,83
93,45,39.870444444444445,14.76417751113305,34.91,89.04,33.2,12.417908215333389,73,0.7212266666666666,0.4732712224037666,65.42222222222222,45,84
97,45,40.0,15.090808387153348,34.91,91.4,33.31111111111111,12.694394602382093,75,0.71866,0.4756292498247862,65.42222222222222,45,85
101,45,40.050888888888885,15.233032356213,34.91,92.58,33.355555555555554,12.820392705990034,76,0.720631111111111,0.4712792584832726,65.5111111111111,45,86
